Caller                                    CorrelationId                         EventDataId                           EventTimestamp                    Level          OperationId                           ResourceGroup    ResourceGroupName    ResourceId                                                                                                                       SubmissionTimestamp               SubscriptionId                        TenantId
----------------------------------------  ------------------------------------  ------------------------------------  --------------------------------  -------------  ------------------------------------  ---------------  -------------------  -------------------------------------------------------------------------------------------------------------------------------  --------------------------------  ------------------------------------  ------------------------------------
nareth03@azureggravitant.onmicrosoft.com  d441c06d-5b57-4bc6-88d7-8ecb5235c936  fae34c01-fff1-4e4f-8d4f-41ab91ce1537  2018-03-06T12:40:36.884422+00:00  Informational  d441c06d-5b57-4bc6-88d7-8ecb5235c936  saketres         saketres             /subscriptions/64caccf3-b508-41e7-92ed-d7ed95b32621/resourceGroups/saketres/providers/Microsoft.Storage/storageAccounts/saketsa  2018-03-06T12:40:49.989540+00:00  64caccf3-b508-41e7-92ed-d7ed95b32621  eff7f985-dc58-4935-a906-050609be85c3
nareth03@azureggravitant.onmicrosoft.com  d441c06d-5b57-4bc6-88d7-8ecb5235c936  7c8c7265-f0c4-4a23-9d24-c0c274c78561  2018-03-06T12:40:36.650062+00:00  Informational  d441c06d-5b57-4bc6-88d7-8ecb5235c936  saketres         saketres             /subscriptions/64caccf3-b508-41e7-92ed-d7ed95b32621/resourceGroups/saketres/providers/Microsoft.Storage/storageAccounts/saketsa  2018-03-06T12:40:49.989540+00:00  64caccf3-b508-41e7-92ed-d7ed95b32621  eff7f985-dc58-4935-a906-050609be85c3
e3ede7ff-90ec-4370-baeb-e96e3386bbd5      42f5e4a6-a0b4-4d32-a902-2051d503682f  ccad5b92-01dd-47fd-b0ff-f06dc1dd1f6f  2018-03-06T12:40:36.105786+00:00  Informational  42f5e4a6-a0b4-4d32-a902-2051d503682f  saketres         saketres             /subscriptions/64caccf3-b508-41e7-92ed-d7ed95b32621/resourceGroups/saketres/providers/Microsoft.Storage/storageAccounts/saketsa  2018-03-06T12:40:50.095508+00:00  64caccf3-b508-41e7-92ed-d7ed95b32621  eff7f985-dc58-4935-a906-050609be85c3
e3ede7ff-90ec-4370-baeb-e96e3386bbd5      51ed1103-b1fd-4faa-a850-79bf605f4f38  4691699f-15cf-46dd-b5ce-f3a1c28dfd63  2018-03-06T12:40:36.097491+00:00  Informational  51ed1103-b1fd-4faa-a850-79bf605f4f38  saketres         saketres             /subscriptions/64caccf3-b508-41e7-92ed-d7ed95b32621/resourceGroups/saketres/providers/Microsoft.Storage/storageAccounts/saketsa  2018-03-06T12:40:50.161333+00:00  64caccf3-b508-41e7-92ed-d7ed95b32621  eff7f985-dc58-4935-a906-050609be85c3
e3ede7ff-90ec-4370-baeb-e96e3386bbd5      42f5e4a6-a0b4-4d32-a902-2051d503682f  5f6e3269-8d98-4905-8560-8e82e3b09419  2018-03-06T12:40:36.075029+00:00  Informational  42f5e4a6-a0b4-4d32-a902-2051d503682f  saketres         saketres             /subscriptions/64caccf3-b508-41e7-92ed-d7ed95b32621/resourceGroups/saketres/providers/Microsoft.Storage/storageAccounts/saketsa  2018-03-06T12:40:50.095508+00:00  64caccf3-b508-41e7-92ed-d7ed95b32621  eff7f985-dc58-4935-a906-050609be85c3
e3ede7ff-90ec-4370-baeb-e96e3386bbd5      51ed1103-b1fd-4faa-a850-79bf605f4f38  e113a641-de3b-4068-ae93-79a9a01cc838  2018-03-06T12:40:36.050577+00:00  Informational  51ed1103-b1fd-4faa-a850-79bf605f4f38  saketres         saketres             /subscriptions/64caccf3-b508-41e7-92ed-d7ed95b32621/resourceGroups/saketres/providers/Microsoft.Storage/storageAccounts/saketsa  2018-03-06T12:40:50.161333+00:00  64caccf3-b508-41e7-92ed-d7ed95b32621  eff7f985-dc58-4935-a906-050609be85c3
e3ede7ff-90ec-4370-baeb-e96e3386bbd5      81c0b12d-9dba-4a4c-8091-22fe350b440b  30b4790a-f2b0-42be-afab-2c6d31bd095f  2018-03-06T12:40:35.757103+00:00  Informational  81c0b12d-9dba-4a4c-8091-22fe350b440b  saketres         saketres             /subscriptions/64caccf3-b508-41e7-92ed-d7ed95b32621/resourceGroups/saketres/providers/Microsoft.Storage/storageAccounts/saketsa  2018-03-06T12:40:50.121022+00:00  64caccf3-b508-41e7-92ed-d7ed95b32621  eff7f985-dc58-4935-a906-050609be85c3
e3ede7ff-90ec-4370-baeb-e96e3386bbd5      81c0b12d-9dba-4a4c-8091-22fe350b440b  0700b027-c9d2-4ae6-b1b2-7cb042933e90  2018-03-06T12:40:35.725854+00:00  Informational  81c0b12d-9dba-4a4c-8091-22fe350b440b  saketres         saketres             /subscriptions/64caccf3-b508-41e7-92ed-d7ed95b32621/resourceGroups/saketres/providers/Microsoft.Storage/storageAccounts/saketsa  2018-03-06T12:40:50.121022+00:00  64caccf3-b508-41e7-92ed-d7ed95b32621  eff7f985-dc58-4935-a906-050609be85c3
e3ede7ff-90ec-4370-baeb-e96e3386bbd5      4cae82db-0940-4012-915c-b212fbe1d83b  14cc991c-cf8f-4cf7-a3a2-86102c8db8b5  2018-03-06T12:40:34.880202+00:00  Informational  4cae82db-0940-4012-915c-b212fbe1d83b  saketres         saketres             /subscriptions/64caccf3-b508-41e7-92ed-d7ed95b32621/resourceGroups/saketres/providers/Microsoft.Storage/storageAccounts/saketsa  2018-03-06T12:40:50.158275+00:00  64caccf3-b508-41e7-92ed-d7ed95b32621  eff7f985-dc58-4935-a906-050609be85c3
